key,screen,english,translation,review,verified,status
adminDashboardAnonymousDate,Admin Dashboard,Anonymous · {date},Walay ngalan · {date},,,approved
adminDashboardJoinApplicationsTooltip,Admin Dashboard,Join Applications,Aplikasyon sa Pag-apil,,,approved
adminDashboardLoadFailed,Admin Dashboard,Failed to load reports,Walay maload nga reports,,,approved
adminDashboardLoadingReports,Admin Dashboard,Loading reports...,Nag-load ang reports...,,,approved
adminDashboardMemberManagementTooltip,Admin Dashboard,Member Management,Pagdumala sa mga Miyembro,,,approved
adminDashboardNoActiveReports,Admin Dashboard,No active reports submitted yet.,Walay mga aktibong report nga gisumite hangtod karon.,,,approved
adminDashboardNoClosedReports,Admin Dashboard,No closed reports.,Walay saradong mga report.,,,approved
adminDashboardNoReports,Admin Dashboard,No reports,Walay mga report,,,approved
adminDashboardNoReportsMatch,Admin Dashboard,"No reports match ""{query}"".","Walay mga report nga nagtugma sa ""{query}"".",,,approved
adminDashboardNoResults,Admin Dashboard,No results,Walay resulta,,,approved
adminDashboardNoTabReports,Admin Dashboard,"No ""{tab}"" reports.","Walay ""{tab}"" nga mga report.",,,approved
adminDashboardOrgSettingsTooltip,Admin Dashboard,Organization Settings,Mga Setting sa Organisasyon,,,approved
adminDashboardPendingApprovalsTooltip,Admin Dashboard,Pending Approvals,Mga Naghulat nga Pag-apruba,,,approved
adminDashboardReportPriorityHigh,Admin Dashboard,High,Taas,,,approved
adminDashboardReportPriorityLow,Admin Dashboard,Low,Gamay,,,approved
adminDashboardReportPriorityMedium,Admin Dashboard,Medium,Tunga-tunga,,,approved
adminDashboardReportPriorityUrgent,Admin Dashboard,Urgent,Dinalian,,,approved
adminDashboardReportsCount,Admin Dashboard,"{label}: {count, plural, =1{1 report} other{{count} reports}}","{label}: {count, plural, =1{1 report} other{{count} mga report}}",,,approved
adminDashboardRolesTooltip,Admin Dashboard,Roles & Permissions,Mga Katungdanan ug Mga Permiso,,,approved
adminDashboardSchoolGradesTooltip,Admin Dashboard,School Grades,Mga grado sa pag-eskwela,,,approved
adminDashboardSearchHint,Admin Dashboard,Search by title or reference number...,Pangita base sa titulo o reperensiya nga ngalan...,,,approved
adminDashboardStatClosed,Admin Dashboard,Closed,Sirado,,,approved
adminDashboardStatInProgress,Admin Dashboard,In Progress,Giproseso pa,,,approved
adminDashboardStatResolved,Admin Dashboard,Resolved,Nasulbad,,,approved
adminDashboardStatSubmitted,Admin Dashboard,Submitted,Gisumite,,,approved
adminDashboardStatTotal,Admin Dashboard,Total,Kinatibuk-an,,,approved
adminDashboardStatUnderReview,Admin Dashboard,Under Review,Ginasusi pa,,,approved
adminDashboardStudentRosterTooltip,Admin Dashboard,Student Roster,Listahan sa mga Estudyante,,,approved
adminDashboardSubmitterDate,Admin Dashboard,{name} · {date},{name} · {date},,,approved
adminDashboardTabAll,Admin (shared) / Admin Dashboard,All,Tanan,,,approved
adminDashboardTabClosed,Admin (shared) / Admin Dashboard,Closed,Sirado,,,approved
adminDashboardTabInProgress,Admin (shared) / Admin Dashboard,In Progress,Giproseso pa,,,approved
adminDashboardTabResolved,Admin (shared) / Admin Dashboard,Resolved,Nasulbad,,,approved
adminDashboardTabSubmitted,Admin (shared) / Admin Dashboard / My Reports,Submitted,Gipasa,,,approved
adminDashboardTabUnderReview,Admin (shared) / Admin Dashboard,Under Review,Ginasusi pa,,,approved
adminDashboardUpdateStatusFailed,Admin Dashboard,Failed to update status: {error},Wala na-update ang status: {error},,,approved
adminReportDetailAddAdminNote,Admin Report Detail,Add Admin Note,Idugang ang nota sa admin,,,approved
adminReportDetailAddNote,Admin Report Detail,Add Note,Magdugang og Nota,,,approved
adminReportDetailAddNoteFailed,Admin Report Detail,Failed to add note: {error},Napakyas sa pagdugang og nota: {error},,,approved
adminReportDetailAdminActions,Admin Report Detail,Admin Actions,Mga Aksyon sa Admin,,,approved
adminReportDetailAdminNotes,Admin Report Detail,Admin Notes ({count}),Mga Nota sa Admin ({count}),,,approved
adminReportDetailAnonymousSubmission,Admin Report Detail,Anonymous submission,Dihang walay ngalan nga gisumite,,,approved
adminReportDetailAssignedTo,Admin Report Detail,Assigned to: {name},Ginatag sa: {name},,,approved
adminReportDetailAssignFailed,Admin Report Detail,Failed to assign report: {error},Napalpak ang pag-assign sa report: {error},,,approved
adminReportDetailAssignTitle,Admin Report Detail,Assign to Admin,I-assign sa Admin,,,approved
adminReportDetailAssignToAdmin,Admin Report Detail,Assign to Admin,I-assign sa Admin,,,approved
adminReportDetailBySubmitter,Admin Report Detail,By: {name},Ni: {name},,,approved
adminReportDetailCurrentStatus,Admin Report Detail,Current: {status},Karon: {status},,,approved
adminReportDetailDescription,Admin Report Detail,Description,Deskripsyon,,,approved
adminReportDetailEnterNote,Admin Report Detail,Enter your note…,Isulod ang imong nota…,,,approved
adminReportDetailLoadAdminsFailed,Admin Report Detail,Failed to load admins: {error},Nakapakyas sa pag-load sa mga admin: {error},,,approved
adminReportDetailLoadFailed,Admin Report Detail / My Reports,Failed to load report,Nakapakyas sa pag-load sa report,,,approved
adminReportDetailLoading,Admin Report Detail / My Reports,Loading report...,Nag-load sa report...,,,approved
adminReportDetailNewStatus,Admin Report Detail,New Status,Bag-ong Kahimtang,,,approved
adminReportDetailNoAdmins,Admin Report Detail,No admins found.,Walay nakitang mga admin.,,,approved
adminReportDetailNoteLabel,Admin Report Detail,Note,Nota,,,approved
adminReportDetailPhotos,Admin Report Detail,Photos ({count}),Mga Litrato ({count}),,,approved
adminReportDetailReassign,Admin Report Detail,Reassign,Ibalik ang tahas,,,approved
adminReportDetailSearchAdmins,Admin Report Detail,Search admins…,Pangita ang mga admin…,,,approved
